unit,cycle,op_setting_1,op_setting_2,op_setting_3,s1_vibration,s2_temp,s3_pressure,s4_acoustic,s5_flow,s6_current,s7_voltage,s8_misc,failure_flag,failure_mode,RUL
1,1,0.723,0.736,235.34,0.5199,59.951,30.592,40.862,99.766,0.0077,507.896,0.021,0,none,79
1,2,0.723,0.736,235.34,0.5353,59.75,30.621,39.914,99.076,-0.0061,504.752,0.291,0,none,78
1,3,0.723,0.736,235.34,0.5097,60.217,30.857,39.594,101.466,0.0277,500.338,0.592,0,none,77
1,4,0.723,0.736,235.34,0.5115,60.141,31.28,40.1,100.947,0.0429,496.822,0.44,0,none,76
1,5,0.723,0.736,235.34,0.5497,59.571,31.93,39.89,100.209,0.0304,493.359,0.97,0,none,75
1,6,0.723,0.736,235.34,0.5639,60.229,32.129,40.095,98.417,0.0677,497.309,0.357,0,none,74
1,7,0.723,0.736,235.34,0.5769,59.258,32.068,40.507,99.323,0.0761,505.155,0.771,0,none,73
1,8,0.723,0.736,235.34,0.5986,60.056,31.812,40.046,101.1,0.0782,497.948,0.325,0,none,72
1,9,0.723,0.736,235.34,0.6063,60.858,31.926,41.402,100.362,0.0835,501.807,0.771,0,none,71
1,10,0.723,0.736,235.34,0.6308,61.886,31.542,40.801,99.939,0.0858,505.212,0.509,0,none,70
1,11,0.723,0.736,235.34,0.6056,60.399,32.06,40.841,99.192,0.105,504.577,0.804,0,none,69
1,12,0.723,0.736,235.34,0.6266,60.926,31.404,41.045,100.673,0.1174,498.161,0.427,0,none,68
1,13,0.723,0.736,235.34,0.6359,60.391,31.033,41.183,98.585,0.1258,498.286,0.943,0,none,67
1,14,0.723,0.736,235.34,0.624,60.387,30.063,40.928,101.404,0.1398,491.632,0.301,0,none,66
1,15,0.723,0.736,235.34,0.6512,61.532,30.225,41.651,99.965,0.1383,505.714,0.238,0,none,65
1,16,0.723,0.736,235.34,0.675,59.919,30.298,42.303,101.392,0.1512,500.384,0.835,0,none,64
1,17,0.723,0.736,235.34,0.6502,60.057,29.519,41.448,98.449,0.1707,494.688,0.691,0,none,63
1,18,0.723,0.736,235.34,0.6895,60.67,29.067,41.606,99.114,0.1764,502.781,0.66,0,none,62
1,19,0.723,0.736,235.34,0.6945,61.034,28.294,41.992,100.26,0.1978,493.815,0.726,0,none,61
1,20,0.723,0.736,235.34,0.6736,60.709,28.852,42.113,100.847,0.2017,493.916,0.692,0,none,60
1,21,0.723,0.736,235.34,0.6862,60.748,27.964,42.494,101.159,0.2018,504.817,0.658,0,none,59
1,22,0.723,0.736,235.34,0.7283,60.006,28.141,41.515,99.228,0.2288,498.802,0.631,0,none,58
1,23,0.723,0.736,235.34,0.7303,61.187,27.933,43.66,100.626,0.2214,494.646,0.94,0,none,57
1,24,0.723,0.736,235.34,0.7496,60.418,28.23,42.174,100.777,0.2505,498.289,0.317,0,none,56
1,25,0.723,0.736,235.34,0.7543,59.877,28.134,42.693,99.116,0.2515,500.291,0.877,0,none,55
1,26,0.723,0.736,235.34,0.7371,60.956,28.553,42.12,101.382,0.2691,496.98,0.81,0,none,54
1,27,0.723,0.736,235.34,0.7803,62.466,28.626,43.268,100.954,0.2765,498.424,0.376,0,none,53
1,28,0.723,0.736,235.34,0.7952,60.643,28.481,42.78,99.465,0.2621,501.787,0.591,0,none,52
1,29,0.723,0.736,235.34,0.7806,61.124,29.09,42.361,99.285,0.2968,496.348,0.052,0,none,51
1,30,0.723,0.736,235.34,0.8043,61.795,29.994,43.682,100.829,0.3002,502.21,0.323,0,none,50
1,31,0.723,0.736,235.34,0.7968,61.046,29.596,43.043,100.505,0.3187,493.999,0.156,0,none,49
1,32,0.723,0.736,235.34,0.8133,60.799,29.749,43.673,101.266,0.3238,508.257,0.612,0,none,48
1,33,0.723,0.736,235.34,0.7996,60.418,31.003,42.946,100.444,0.3377,495.365,0.492,0,none,47
1,34,0.723,0.736,235.34,0.8388,60.033,30.957,42.403,98.7,0.3554,506.616,0.045,0,none,46
1,35,0.723,0.736,235.34,0.8788,59.982,31.663,43.505,99.018,0.3546,500.995,0.027,0,none,45
1,36,0.723,0.736,235.34,0.848,61.044,31.625,42.651,101.281,0.3538,510.557,0.546,0,none,44
1,37,0.723,0.736,235.34,0.867,61.034,31.882,43.389,99.792,0.3651,497.053,0.118,0,none,43
1,38,0.723,0.736,235.34,0.897,61.236,32.372,43.981,100.581,0.3737,504.384,0.177,0,none,42
1,39,0.723,0.736,235.34,0.9049,61.085,31.991,43.959,101.278,0.3841,502.735,0.858,0,none,41
1,40,0.723,0.736,235.34,0.896,61.576,31.847,43.796,100.262,0.4001,504.655,0.826,0,none,40
1,41,0.723,0.736,235.34,0.9236,60.665,31.979,44.035,100.097,0.416,495.909,0.293,0,none,39
1,42,0.723,0.736,235.34,0.9618,61.442,31.35,44.585,100.667,0.413,499.956,0.55,0,none,38
1,43,0.723,0.736,235.34,0.9495,60.786,31.221,44.139,100.413,0.4244,495.889,0.084,0,none,37
1,44,0.723,0.736,235.34,0.9449,60.663,31.231,44.68,100.873,0.4515,497.613,0.947,0,none,36
1,45,0.723,0.736,235.34,0.9356,60.793,30.918,45.238,100.858,0.4484,499.905,0.011,0,none,35
1,46,0.723,0.736,235.34,0.9399,60.579,30.431,45.236,100.771,0.4649,500.444,0.375,0,none,34
1,47,0.723,0.736,235.34,0.9838,60.739,30.117,44.706,100.098,0.4623,500.123,0.629,0,none,33
1,48,0.723,0.736,235.34,0.99,60.744,30.209,45.4,101.816,0.4789,504.882,0.62,0,none,32
1,49,0.723,0.736,235.34,0.9732,60.68,28.63,44.637,99.241,0.4915,501.709,0.31,0,none,31
1,50,0.723,0.736,235.34,1.0375,61.286,29.203,45.371,101.477,0.507,499.339,0.866,0,none,30
1,51,0.723,0.736,235.34,1.0336,60.785,28.086,45.777,99.885,0.5224,492.028,0.056,0,none,29
1,52,0.723,0.736,235.34,1.008,61.17,28.435,45.958,100.312,0.5169,492.004,0.129,0,none,28
1,53,0.723,0.736,235.34,1.0324,61.317,28.368,44.738,98.466,0.5428,501.662,0.52,0,none,27
1,54,0.723,0.736,235.34,1.025,61.137,28.504,45.485,101.153,0.5503,500.83,0.403,0,none,26
1,55,0.723,0.736,235.34,1.0629,61.784,27.711,45.843,101.058,0.5324,494.084,0.904,0,none,25
1,56,0.723,0.736,235.34,1.0192,61.22,27.39,45.357,101.334,0.5698,501.654,0.95,0,none,24
1,57,0.723,0.736,235.34,1.0359,61.112,28.277,45.684,97.933,0.5691,493.478,0.076,0,none,23
1,58,0.723,0.736,235.34,1.0934,60.609,28.501,46.174,99.709,0.6006,498.403,0.172,0,none,22
1,59,0.723,0.736,235.34,1.0794,60.784,28.581,45.382,99.446,0.578,509.824,0.039,0,none,21
1,60,0.723,0.736,235.34,1.1007,61.457,29.288,46.426,99.38,0.5926,502.898,0.209,0,none,20
1,61,0.723,0.736,235.34,1.1045,60.069,28.829,46.783,101.645,0.6075,502.883,0.512,0,none,19
1,62,0.723,0.736,235.34,1.1262,60.754,29.693,46.962,97.543,0.6119,495.477,0.377,0,none,18
1,63,0.723,0.736,235.34,1.1171,60.719,30.573,46.741,99.992,0.6448,500.387,0.587,0,none,17
1,64,0.723,0.736,235.34,1.1228,61.06,30.938,46.206,99.332,0.654,493.452,0.571,0,none,16
1,65,0.723,0.736,235.34,1.122,61.581,30.645,46.256,99.408,0.6414,500.243,0.41,0,none,15
1,66,0.723,0.736,235.34,1.1434,61.515,31.159,46.719,100.274,0.6528,497.337,0.669,0,none,14
1,67,0.723,0.736,235.34,1.222,61.716,30.98,46.972,99.337,0.6757,496.184,0.508,0,none,13
1,68,0.723,0.736,235.34,1.2439,61.131,31.626,48.038,100.798,0.6686,501.339,0.481,0,none,12
1,69,0.723,0.736,235.34,1.327,61.404,31.629,48.708,101.006,0.6842,504.178,0.76,0,none,11
1,70,0.723,0.736,235.34,1.3774,61.538,32.711,48.115,98.967,0.7017,500.447,0.181,0,none,10
1,71,0.723,0.736,235.34,1.4617,62.342,32.346,49.227,100.338,0.7059,497.562,0.164,0,none,9
1,72,0.723,0.736,235.34,1.5113,63.212,32.242,48.096,100.361,0.7173,504.738,0.817,0,none,8
1,73,0.723,0.736,235.34,1.5392,62.956,31.228,49.124,100.018,0.7468,501.635,0.384,0,none,7
1,74,0.723,0.736,235.34,1.6356,64.426,31.605,48.958,100.287,0.7417,502.845,0.335,1,bearing,6
1,75,0.723,0.736,235.34,1.7068,64.292,31.49,50.635,100.182,0.7525,497.703,0.248,1,bearing,5
1,76,0.723,0.736,235.34,1.743,65.775,31.093,49.426,100.829,0.7729,497.777,0.15,1,bearing,4
1,77,0.723,0.736,235.34,1.8351,65.079,30.867,50.378,100.413,0.7888,496.131,0.182,1,bearing,3
1,78,0.723,0.736,235.34,1.8551,66.145,30.466,49.355,97.675,0.7818,513.218,0.611,1,bearing,2
1,79,0.723,0.736,235.34,1.9422,66.943,29.96,50.012,99.21,0.7947,509.41,0.424,1,bearing,1
1,80,0.723,0.736,235.34,2.0269,67.192,29.454,49.955,100.781,0.8254,502.62,0.399,1,bearing,0
2,1,0.53,0.219,201.07,0.5068,59.807,30.094,39.273,100.823,0.0107,493.55,0.738,0,none,73
2,2,0.53,0.219,201.07,0.4941,59.289,30.701,39.637,99.851,0.0199,493.404,0.419,0,none,72
2,3,0.53,0.219,201.07,0.5254,60.408,31.684,40.863,99.731,0.0189,512.867,0.067,0,none,71
2,4,0.53,0.219,201.07,0.5412,59.689,31.637,40.343,100.155,0.0657,494.464,0.066,0,none,70
2,5,0.53,0.219,201.07,0.5449,60.852,30.888,41.046,101.246,0.0293,498.287,0.862,0,none,69
2,6,0.53,0.219,201.07,0.5526,60.045,32.022,41.017,98.673,0.0564,499.652,0.156,0,none,68
2,7,0.53,0.219,201.07,0.5887,60.776,32.187,40.135,99.475,0.0749,493.889,0.099,0,none,67
2,8,0.53,0.219,201.07,0.5943,60.567,31.717,40.917,100.253,0.0965,494.965,0.205,0,none,66
2,9,0.53,0.219,201.07,0.6019,60.025,32.046,40.274,100.924,0.0882,497.386,0.259,0,none,65
2,10,0.53,0.219,201.07,0.621,60.858,31.293,41.378,98.587,0.1125,489.151,0.436,0,none,64
2,11,0.53,0.219,201.07,0.6142,60.172,31.454,41.3,99.962,0.121,500.571,0.425,0,none,63
2,12,0.53,0.219,201.07,0.623,61.318,31.553,40.889,99.582,0.1071,500.504,0.272,0,none,62
2,13,0.53,0.219,201.07,0.6339,59.771,31.153,40.449,101.029,0.1347,501.28,0.601,0,none,61
2,14,0.53,0.219,201.07,0.6597,59.778,30.823,41.321,100.807,0.1438,488.151,0.047,0,none,60
2,15,0.53,0.219,201.07,0.6604,59.937,30.338,41.122,99.388,0.1359,495.384,0.719,0,none,59
2,16,0.53,0.219,201.07,0.633,60.607,29.357,42.641,99.695,0.161,500.895,0.215,0,none,58
2,17,0.53,0.219,201.07,0.6585,60.401,30.257,41.652,101.149,0.163,499.825,0.688,0,none,57
